room_id,sun_rgbd_image_id,scene_category,key_objects,style,color_palette,lighting,mood,scene_confidence
room_000,sunrgbd/kv1/nyudata/nyu0676,bathroom,"toilet, door, towel, bathroomvanity",modern minimalist,"warm neutrals (beige, cream, oak)",directional window light with long shadows,calm and serene,1.0
room_001,sunrgbd/kv2/kinect2data/002133_2014-06-25_21-12-52_260595134347_rgbf000082-resize,bathroom,"toilet, sink",industrial loft,navy and brass accents,warm golden hour sunlight,warm and intimate,0.8
room_002,sunrgbd/xtion/sun3ddata/hotel_umd/maryland_hotel1/0004964-000166339908,bathroom,"soap dish, bathtub, shower curtain",modern minimalist,"cool monochrome (white, grey, charcoal)",layered lighting with floor and table lamps,sophisticated and refined,1.0
room_004,sunrgbd/kv2/kinect2data/002244_2014-06-28_18-43-58_260595134347_rgbf000074-resize,bedroom,"pillow, bed, night stand, lamp, dresser",scandinavian,"warm neutrals (beige, cream, oak)",soft natural daylight from large windows,clean and airy,1.0
room_006,sunrgbd/xtion/xtion_align_data/2014_12_18_11_51_15,classroom,"chair, podium, shelf, table",industrial loft,"warm neutrals (beige, cream, oak)",layered lighting with floor and table lamps,clean and airy,0.667
room_007,sunrgbd/xtion/xtion_align_data/2014_12_18_14_28_26,classroom,"podium, bench",art deco,forest green with brushed gold,warm golden hour sunlight,sophisticated and refined,1.0
room_008,sunrgbd/kv1/b3dodata/img_0149,classroom,"whiteboard, marker, eraser",bohemian,"warm neutrals (beige, cream, oak)",warm golden hour sunlight,warm and intimate,0.625
room_009,sunrgbd/xtion/sun3ddata/home_pt/home_pt_scan1_2012_oct_19/0021617-000724548888,dining room,"table, chair",japandi,black and white with walnut wood,ambient evening lighting with pendant lamps,clean and airy,1.0
room_010,sunrgbd/xtion/sun3ddata/harvard_c9/hv_c9_2/0000418-000013980467,dining room,"pizza box, table, whiteboard, chair",industrial loft,black and white with walnut wood,soft natural daylight from large windows,cozy and inviting,0.529
room_011,sunrgbd/xtion/sun3ddata/mit_lab_16/lab_16_nov_2_2012_scan1_erika/0011684-000499388400,dining room,"stool, table, chair",japandi,"cool monochrome (white, grey, charcoal)",ambient evening lighting with pendant lamps,sleek and contemporary,1.0
room_012,sunrgbd/xtion/sun3ddata/harvard_tea_2/hv_tea2_1/0000350-000011734050,kitchen,"toaster oven, microwave, plate, kitchen counter",rustic farmhouse,"muted pastels (sage, blush, dove grey)",soft natural daylight from large windows,warm and intimate,0.667
room_013,sunrgbd/xtion/sun3ddata/brown_cogsci_2/brown_cogsci_2/0001150-000038512712,kitchen,"cabinet, microwave, water dispenser",contemporary,"cool monochrome (white, grey, charcoal)",bright overcast daylight,cozy and inviting,1.0
room_014,sunrgbd/kv2/kinect2data/002841_2014-06-22_20-41-25_094959634447_rgbf000082-resize,kitchen,"fridge, sofa, desk",art deco,"muted pastels (sage, blush, dove grey)",directional window light with long shadows,bright and cheerful,0.5
room_015,sunrgbd/xtion/sun3ddata/mit_w20_athena/sc_athena_oct_29_2012_scan1_erika/0008768-000375982488,living room,"ottoman, chair",rustic farmhouse,navy and brass accents,directional window light with long shadows,cozy and inviting,0.75
room_016,sunrgbd/kv1/nyudata/nyu0259,living room,"remotecontrol, tv, bookshelf, speaker, tv stand",scandinavian,navy and brass accents,ambient evening lighting with pendant lamps,cozy and inviting,1.0
room_017,sunrgbd/xtion/sun3ddata/mit_lab_hj/lab_hj_work_nov_2_2012_scan1_erika/0004287-000173076624,living room,"sofa, chair",industrial loft,"cool monochrome (white, grey, charcoal)",bright overcast daylight,calm and serene,0.714
room_018,sunrgbd/xtion/sun3ddata/mit_32_lounge_d429/d4_lounge_1/0005500-000184304484,office,"lego, desk, curtain",contemporary,black and white with walnut wood,warm golden hour sunlight,calm and serene,1.0
room_019,sunrgbd/kv1/b3dodata/img_0131,office,"computer, cpu, mug, chair, desk",rustic farmhouse,navy and brass accents,directional window light with long shadows,calm and serene,0.941
room_020,sunrgbd/kv1/b3dodata/img_0319,office,"chair, table, laptop, poster",modern minimalist,"earthy tones (terracotta, olive, sand)",layered lighting with floor and table lamps,warm and intimate,0.6
